"F_AREA";"scientificName";"LON";"LAT";"YEAR";"occurrenceStatus";"bathymetry"
"31";"Thunnus alalunga";-89.35;26.06;2001;1;-3114.7666015625
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"21";"Thunnus alalunga";-65.9;38.91;2002;1;-4674.029296875
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2003;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"21";"Thunnus alalunga";-71.53;39.88;2003;1;-390.354125976562
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"21";"Thunnus alalunga";-71.91;39.48;2002;1;-1126.36999511719
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"21";"Thunnus alalunga";-74.23;37.51;2002;1;-1094.38024902344
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"34";"Thunnus alalunga";-36.05;6.75;2002;1;-4142.68994140625
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"31";"Thunnus alalunga";-73.5;23.5;2003;1;-5084.0576171875
"21";"Thunnus alalunga";-72.11;39.46;2002;1;-568.491394042969
"27";"Thunnus alalunga";-28.38241667;38.01536667;2011;1;-1393.68371582031
"27";"Thunnus alalunga";-30.49683333;37.27546667;2012;1;-2287.0849609375
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"27";"Thunnus alalunga";-27.21951667;38.56731667;2005;1;-886.619384765625
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"31";"Thunnus alalunga";-66.2416648865;26.641667366;2004;1;-4959.8125
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"31";"Thunnus alalunga";-60.01;32.23;2003;1;-4956.18994140625
"21";"Thunnus alalunga";-65.91;36.55;2003;1;-4887.8994140625
"47";"Thunnus alalunga";18.0886001587;-33.4255981445;2002;1;-16.25
"27";"Thunnus alalunga";-30.5146;39.00948333;2011;1;-1579.80969238281
"47";"Thunnus alalunga";17.8332996368;-32.8166999817;2002;1;-46.9949989318848
"21";"Thunnus alalunga";-74.16;37.48;2004;1;-1120.42028808594
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"21";"Thunnus alalunga";-73.6749992371;38.1666679382;2001;1;-662.365966796875
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"47";"Thunnus alalunga";15.3919000626;-27.4584999084;2000;1;-1.55750000476837
"31";"Thunnus alalunga";-75.1;34.26;2001;1;-3199.72094726562
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"21";"Thunnus alalunga";-70.75;39.95;2000;1;-426.236511230469
"21";"Thunnus alalunga";-69.83;39.83;2001;1;-1207.65246582031
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2003;1;-7.59000015258789
"21";"Thunnus alalunga";-72.96;38.75;2004;1;-788.956726074219
"27";"Thunnus alalunga";-26.60748333;38.21298333;2005;1;-265.315216064453
"21";"Thunnus alalunga";-72.05;39.43;2005;1;-599.291442871094
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"21";"Thunnus alalunga";-72.3;39.16;2004;1;-954.361938476562
"47";"Thunnus alalunga";18.0886001587;-33.4255981445;2004;1;-16.25
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"47";"Thunnus alalunga";17.1173992157;-29.9335002899;2002;1;-25.2474994659424
"47";"Thunnus alalunga";17.8332996368;-32.8166999817;2000;1;-46.9949989318848
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"47";"Thunnus alalunga";18.4349994659;-33.9028015137;2000;1;-16.0599994659424
"47";"Thunnus alalunga";18.0886001587;-33.4255981445;2005;1;-16.25
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"31";"Thunnus alalunga";-77.93;28.55;2003;1;-1005.05999755859
"31";"Thunnus alalunga";-78.0083312988;28.4166669846;2005;1;-1009.43249511719
